process_id,arrival_time,cpu_usage,memory_usage,io_operations,process_type,priority,burst_time
P733,732,76,171,1,3,2,14.7
P734,733,62,372,1,2,1,9.74
P735,734,59,506,8,2,2,8.38
P736,735,68,326,3,3,1,13.67
P737,736,40,214,2,3,3,10.58
P738,737,25,246,8,2,2,6.08
P739,738,57,218,5,3,2,7.85
P740,739,77,368,4,2,1,9.47
P741,740,79,593,3,2,3,12.02
P742,741,47,309,8,1,3,3.31
P743,742,23,591,9,3,3,6.28
P744,743,43,609,6,2,1,3.46
P745,744,45,459,10,3,3,6.32
P746,745,46,563,1,3,3,11.0
P747,746,72,655,10,3,2,10.4
P748,747,31,570,4,3,3,10.28
P749,748,20,345,9,2,2,3.34
P750,749,68,727,6,1,2,10.46
P751,750,57,242,10,2,2,3.86
P752,751,40,169,1,3,3,11.93
P753,752,87,190,2,1,3,13.21
P754,753,86,651,2,2,1,15.27
P755,754,71,602,5,2,1,10.8
P756,755,78,336,6,1,1,7.62
P757,756,78,613,1,3,2,14.42
P758,757,58,701,8,3,1,11.32
P759,758,73,705,9,3,3,10.68
P760,759,53,346,4,1,1,8.07
P761,760,74,377,8,1,3,5.97
P762,761,73,525,5,3,1,12.76
P763,762,41,777,3,1,2,7.41
P764,763,32,756,6,1,2,7.64
P765,764,64,262,8,1,3,5.39
P766,765,50,344,8,3,2,9.75
P767,766,88,669,1,3,1,17.21
P768,767,39,489,6,3,2,8.67
P769,768,37,487,1,1,2,6.58
P770,769,63,498,3,3,3,12.91
P771,770,54,436,3,3,3,12.62
P772,771,43,416,1,3,3,9.98
P773,772,69,164,3,1,2,9.76
P774,773,87,286,4,1,2,11.96
P775,774,47,336,2,3,3,10.1
P776,775,62,258,9,3,1,6.03
P777,776,85,682,8,3,3,15.27
P778,777,49,557,6,2,2,10.43
P779,778,88,522,2,3,2,15.46
P780,779,25,733,4,1,3,5.69
P781,780,25,387,10,2,3,6.96
P782,781,25,723,8,3,3,3.42
P783,782,86,205,1,3,1,12.43
P784,783,89,390,6,1,2,11.87
P785,784,30,614,9,3,2,5.88
P786,785,42,182,5,3,3,8.15
P787,786,49,380,2,1,3,8.08
P788,787,77,705,7,3,1,13.3
P789,788,44,433,3,2,2,7.8
P790,789,83,357,9,2,2,8.72
P791,790,73,430,1,3,2,14.2
P792,791,35,361,9,3,3,7.21
P793,792,67,397,4,3,2,8.98
P794,793,46,690,8,3,3,9.86
P795,794,65,674,8,1,2,7.47
P796,795,55,619,5,2,2,8.74
P797,796,66,175,5,2,3,9.49
P798,797,71,223,5,1,3,6.55
P799,798,34,327,4,3,1,9.93
P800,799,46,410,4,1,1,7.02
P801,800,89,263,2,2,2,14.77
P802,801,32,526,6,1,2,3.64
P803,802,71,466,4,1,3,9.79
P804,803,76,247,9,2,2,7.03
P805,804,24,737,5,2,2,7.0
P806,805,26,679,3,2,2,7.1
P807,806,50,483,3,1,1,7.1
P808,807,72,387,2,3,2,13.9
P809,808,21,293,8,1,2,2.0
P810,809,20,440,4,3,2,6.53
P811,810,69,706,1,1,3,12.53
P812,811,21,717,8,3,2,5.9
P813,812,59,270,3,3,2,11.58
P814,813,61,402,5,2,1,9.03
P815,814,41,284,4,2,3,7.47
P816,815,31,523,9,2,1,3.26
P817,816,29,604,2,3,2,11.78
P818,817,43,485,9,2,2,2.82
P819,818,48,626,5,1,3,6.27
P820,819,37,773,10,2,2,6.57
P821,820,55,784,4,2,2,8.43
P822,821,64,263,4,2,2,10.43
P823,822,86,762,5,1,3,11.55
P824,823,89,495,1,1,3,12.54
P825,824,33,416,7,2,3,5.93
P826,825,46,471,7,3,2,9.62
P827,826,62,344,3,1,3,10.22
P828,827,41,607,9,3,1,8.37
P829,828,63,707,7,3,2,13.66
P830,829,35,710,4,2,3,4.72
P831,830,84,157,5,3,1,14.2
P832,831,89,107,3,1,3,8.32
P833,832,79,774,5,3,1,15.44
P834,833,38,201,9,2,3,3.27
P835,834,72,142,3,2,2,9.63
P836,835,62,176,9,3,3,6.51
P837,836,70,306,7,2,3,10.39
P838,837,57,709,3,2,2,11.76
P839,838,61,319,1,3,3,10.75
P840,839,70,728,5,2,1,13.38
P841,840,32,700,6,2,1,7.44
P842,841,68,106,10,3,2,8.35
P843,842,64,597,9,2,1,8.51
P844,843,55,433,3,2,1,8.72
P845,844,86,513,4,1,1,8.37
P846,845,66,280,6,2,2,6.57
P847,846,83,186,9,2,3,9.23
P848,847,60,429,10,1,3,5.84
P849,848,69,772,1,1,2,12.02
P850,849,23,612,7,2,2,4.93
P851,850,80,390,8,1,3,8.66
P852,851,62,382,9,2,1,4.72
P853,852,35,454,4,1,1,2.68
P854,853,67,138,9,2,2,7.18
P855,854,41,302,2,2,2,6.36
P856,855,20,482,10,2,3,2.49
P857,856,25,681,8,2,3,9.66
P858,857,49,132,10,1,2,3.86
P859,858,46,522,9,2,1,3.71
P860,859,21,791,7,1,2,6.06
P861,860,37,358,7,3,2,5.25
P862,861,52,463,10,3,3,7.22
P863,862,87,197,8,2,2,10.15
P864,863,44,602,9,1,3,6.96
P865,864,35,778,3,3,1,8.76
P866,865,51,552,7,1,2,7.0
P867,866,72,579,10,3,3,12.74
P868,867,22,438,10,1,3,2.0
P869,868,54,617,6,1,1,4.02
P870,869,66,790,5,3,1,12.54
P871,870,27,115,3,1,2,3.84
P872,871,63,100,10,3,2,5.29
P873,872,75,468,9,2,1,6.78
P874,873,42,270,6,3,1,7.83
P875,874,62,124,2,2,1,8.63
P876,875,78,543,9,3,3,10.66
P877,876,51,210,9,1,2,4.13
P878,877,43,531,7,2,1,7.89
P879,878,32,636,4,2,2,8.71
P880,879,64,469,2,3,1,14.01
P881,880,74,246,3,3,1,12.1
P882,881,64,527,8,1,1,7.4
P883,882,70,762,8,2,3,12.44
P884,883,79,798,1,3,3,14.67
P885,884,71,352,1,1,2,10.42
P886,885,59,691,6,1,2,9.63
P887,886,73,761,3,1,2,8.81
P888,887,44,588,1,2,3,12.76
P889,888,83,442,7,2,1,12.96
P890,889,40,412,7,3,3,10.55
P891,890,64,565,8,3,3,10.45
P892,891,69,531,4,3,2,12.21
P893,892,28,344,9,3,1,6.45
P894,893,68,442,4,1,2,11.11
P895,894,36,127,9,2,1,2.42
P896,895,57,174,2,3,3,7.67
P897,896,43,630,2,1,1,7.61
P898,897,20,252,1,2,3,5.03
P899,898,35,320,3,3,3,6.1
P900,899,20,141,3,1,2,4.26
P901,900,74,501,2,1,1,13.01
P902,901,89,147,7,3,2,13.86
P903,902,29,641,9,2,1,7.51
P904,903,28,253,4,1,3,5.74
P905,904,71,168,7,1,3,8.53
P906,905,32,720,10,1,3,6.02
P907,906,27,166,9,2,1,2.0
P908,907,71,298,2,2,3,9.2
P909,908,59,586,5,3,1,12.84
P910,909,50,533,4,3,1,9.51
P911,910,21,764,10,3,2,5.2
P912,911,83,424,3,2,3,14.3
P913,912,79,566,8,1,3,9.66
P914,913,74,369,1,3,2,13.75
P915,914,26,641,3,1,1,5.7
P916,915,70,683,2,3,2,14.81
P917,916,36,272,7,3,2,5.81
P918,917,43,314,6,1,2,5.6
P919,918,44,538,1,2,3,8.12
P920,919,47,174,6,1,2,4.71
P921,920,70,701,5,2,3,12.6
P922,921,39,211,6,3,3,7.94
P923,922,28,720,1,1,3,7.85
P924,923,54,478,3,2,1,8.61
P925,924,26,382,1,3,2,9.42
P926,925,52,789,4,1,1,10.51
P927,926,78,482,1,3,1,14.08
P928,927,33,546,1,3,2,11.13
P929,928,69,601,2,3,3,13.71
P930,929,55,346,8,3,3,8.81
P931,930,81,658,9,2,1,11.43
P932,931,81,178,9,1,2,6.95
P933,932,90,576,7,3,1,12.57
P934,933,73,485,1,1,2,10.63
P935,934,75,193,4,1,1,7.43
P936,935,35,405,10,1,3,3.9
P937,936,36,541,7,2,1,8.33
P938,937,88,168,4,3,1,13.73
P939,938,56,587,9,1,2,5.36
P940,939,57,350,1,2,3,10.83
P941,940,84,196,1,1,2,10.67
P942,941,52,383,10,1,3,4.28
P943,942,79,681,2,3,2,16.88
P944,943,62,394,10,1,3,5.0
P945,944,37,281,3,2,2,6.08
P946,945,90,347,2,2,3,13.0
P947,946,59,681,6,2,1,9.54
P948,947,48,573,9,3,3,9.94
P949,948,61,534,8,3,2,11.57
P950,949,57,164,6,1,1,4.87
P951,950,43,483,7,3,2,5.76
P952,951,81,385,6,3,2,12.83
P953,952,48,598,9,2,2,6.51
P954,953,37,221,1,2,2,8.85
P955,954,75,377,3,3,3,12.55
P956,955,40,627,6,2,1,5.8
P957,956,83,270,1,1,3,10.5
P958,957,90,207,2,2,1,12.55
P959,958,87,305,7,3,2,11.16
P960,959,31,249,9,1,2,2.0
P961,960,77,297,3,2,2,10.23
P962,961,45,560,7,3,3,8.86
P963,962,45,196,4,1,3,6.22
P964,963,80,229,7,2,1,9.14
P965,964,57,730,10,3,3,12.0
P966,965,60,780,7,3,3,13.68
P967,966,77,131,2,3,3,12.43
P968,967,71,617,7,2,3,12.31
P969,968,49,225,1,1,2,7.23
P970,969,70,155,9,3,2,9.0
P971,970,46,383,1,2,3,8.33
P972,971,55,213,7,1,3,6.01
P973,972,79,611,10,1,3,8.67
P974,973,62,216,6,1,1,5.51
P975,974,59,465,8,1,1,7.37
P976,975,81,748,4,1,1,11.09
P977,976,69,467,8,2,3,8.53
P978,977,48,251,10,1,1,2.0
P979,978,37,653,4,1,1,5.22
P980,979,68,256,4,2,3,7.26
P981,980,39,475,8,3,3,7.36
P982,981,46,346,3,2,2,7.61
P983,982,45,253,1,2,1,5.65
P984,983,68,795,3,3,1,14.8
P985,984,74,765,3,1,2,13.62
P986,985,35,507,6,2,1,7.7
P987,986,68,636,10,2,2,7.43
P988,987,25,247,7,1,2,6.04
P989,988,62,765,10,2,3,8.32
P990,989,82,535,4,1,2,10.75
P991,990,21,497,1,2,1,5.66
P992,991,45,760,4,2,2,10.97
P993,992,42,436,2,3,2,12.36
P994,993,85,611,4,2,3,13.94
P995,994,53,655,6,1,2,5.33
P996,995,90,579,3,2,3,15.23
P997,996,72,718,5,3,3,11.55
P998,997,22,477,5,3,1,8.47
P999,998,56,108,3,1,2,7.39
P1000,999,54,730,7,2,2,6.43
